consumption_live,lat,lng,speed_kmh
0.0,50.52925366666667,18.095996333333332,32.6
0.0,50.52923583333333,18.096038833333335,32.5
0.0,50.529227,18.09606,32.3
0.0,50.529200333333335,18.096123,32.1
0.0,50.5291915,18.096143833333333,32.0
0.0,50.52918283333333,18.096164666666667,31.8
0.0,50.52916533333333,18.096206166666665,31.7
0.0,50.529156666666665,18.096227,31.7
0.0,50.52913933333333,18.09626816666667,31.5
0.0,50.52913083333333,18.096288666666666,31.3
0.0,50.52912216666667,18.096309166666668,31.3
0.0,50.52910516666667,18.09635,31.0
0.0,50.52909666666667,18.0963705,31.0
0.0,50.52908,18.096411,30.8
0.0,50.5290715,18.096431333333335,30.8
0.0,50.529055,18.0964715,30.6
0.0,50.5290385,18.096511333333332,30.4
0.0,50.52903033333333,18.096531333333335,30.3
0.0,50.529014,18.096571166666667,30.1
0.0,50.528998,18.096610666666667,30.0
0.0,50.528989833333334,18.096630333333334,29.8
0.0,50.52898183333333,18.09665,29.8
0.0,50.528966,18.096689333333334,29.7
0.0,50.52895816666667,18.096709,29.5
0.0,50.528950333333334,18.0967285,29.5
0.0,50.52893483333333,18.0967675,29.3
0.0,50.52892716666667,18.096787,29.2
0.0,50.52891183333333,18.096825833333334,29.1
0.0,50.5288965,18.0968645,29.0
0.0,50.52888133333333,18.096902833333335,28.8
0.0,50.528873833333336,18.096922,28.7
0.0,50.52885883333333,18.096960166666666,28.6
0.0,50.5288515,18.096979333333334,28.4
0.0,50.528844,18.09699833333333,28.4
0.0,50.528829333333334,18.097036166666665,28.3
0.0,50.528822,18.097055,28.2
0.0,50.5288075,18.097092666666665,28.1
0.0,50.5288,18.097111333333334,28.0
0.0,50.52879266666667,18.097129833333334,27.9
0.0,50.528777833333336,18.097166666666666,27.8
0.0,50.52877016666667,18.097184666666667,27.7
0.0,50.5287545,18.097220166666666,27.5
0.0,50.52873833333334,18.097254833333334,27.4
0.0,50.5287215,18.0972885,27.2
0.0,50.528712666666664,18.097304833333332,27.2
0.0,50.52870383333333,18.097320833333335,27.1
0.0,50.5286855,18.097351833333335,26.9
0.0,50.52867616666666,18.097366833333332,26.9
0.0,50.528656833333336,18.097395666666667,26.7
0.0,50.528647,18.0974095,26.5
0.0,50.52862666666667,18.097436,26.4
0.0,50.528616166666666,18.097448666666665,26.3
0.0,50.528605666666664,18.097460833333333,26.2
0.0,50.52858416666667,18.097483666666665,26.1
0.0,50.52857316666667,18.0974945,25.9
0.0,50.528551,18.0975145,25.7
0.0,50.528528,18.097532,25.6
0.0,50.528516333333336,18.09754,25.4
0.0,50.52849283333333,18.097554,25.3
0.0,50.528481,18.097560166666668,25.1
0.0,50.528457,18.097570833333332,24.9
0.0,50.528445,18.097575166666665,24.8
0.0,50.528421,18.09758233333333,24.5
0.0,50.528409,18.097585,24.4
0.0,50.528397,18.097587,24.3
0.0,50.528373,18.0975895,24.0
0.0,50.52836116666667,18.097589833333334,23.8
0.0,50.5283375,18.097589,23.6
0.0,50.528326,18.097587666666666,23.4
0.0,50.5282915,18.0975805,23.1
0.0,50.528280333333335,18.097577,23.0
0.0,50.52825816666667,18.0975685,22.7
0.0,50.5282475,18.0975635,22.5
0.0,50.52823683333333,18.097558166666666,22.4
0.0,50.528216,18.097546,22.2
0.0,50.52820583333333,18.097539333333334,22.1
0.0,50.528186,18.097524666666665,21.9
0.0,50.5281765,18.097516833333334,21.7
0.0,50.528167,18.0975085,21.6
0.0,50.52814883333333,18.09749083333333,21.4
0.0,50.5281315,18.097471833333334,21.2
0.0,50.52811533333333,18.097451,20.9
0.0,50.52810783333334,18.097439833333333,20.8
0.0,50.5281005,18.0974285,20.6
0.0,50.528087166666666,18.097404333333333,20.3
0.0,50.528081,18.097391833333333,20.2
0.0,50.52806966666667,18.097365833333335,20.1
0.0,50.5280645,18.0973525,20.0
0.0,50.52805516666667,18.097325166666668,19.7
0.0,50.528051166666664,18.097311166666668,19.6
0.0,50.52804733333333,18.097297166666667,19.5
0.0,50.528041,18.09726866666667,19.2
0.0,50.528038333333335,18.097254333333332,19.1
0.0,50.528034,18.097225666666667,18.8
0.0,50.528031166666665,18.097196833333335,18.6
0.0,50.52802966666667,18.097168,18.4
0.0,50.528029333333336,18.097153833333333,18.3
0.0,50.528029333333336,18.0971395,18.2
0.0,50.52803016666667,18.097111,18.2
1.27,50.528031166666665,18.09709683333333,18.2
2.17,50.528033666666666,18.0970685,18.3
2.66,50.5280355,18.097054166666666,18.7
2.81,50.52804016666666,18.097025,19.3
2.59,50.528043,18.097010333333333,19.5
2.82,50.528046,18.0969955,19.8
2.82,50.52805333333333,18.096966166666668,20.2
2.76,50.52805733333334,18.0969515,20.4
2.92,50.52807116666666,18.096907666666667,21.0
2.97,50.52807633333333,18.09689283333333,21.4
3.01,50.52808666666667,18.096863,21.8
3.09,50.528091833333335,18.096847666666665,22.1
3.07,50.52809716666667,18.096832166666665,22.5
3.17,50.528108,18.096800666666667,23.1
3.17,50.5281135,18.0967845,23.4
3.2,50.52811916666667,18.096768,23.7
3.29,50.52813033333333,18.096734666666666,24.3
3.3,50.528141833333336,18.09670016666667,25.0
3.42,50.528153333333336,18.096664666666666,25.6
3.45,50.52815916666667,18.0966465,26.0
3.46,50.528165,18.096628,26.3
3.6,50.52817683333333,18.09659033333333,27.0
3.63,50.528182666666666,18.096571,27.3
3.67,50.52819433333333,18.0965315,27.9
3.7,50.5282,18.096511333333332,28.2
3.77,50.5282115,18.096470166666666,28.8
3.81,50.528217166666664,18.096449166666666,29.1
3.92,50.528228166666665,18.096406166666668,29.7
3.92,50.52823333333333,18.096384166666667,30.1
4.05,50.528243333333336,18.096339,30.7
4.07,50.528248,18.096315666666666,31.1
4.17,50.52825683333333,18.096268333333335,31.7
4.18,50.52826116666667,18.096244,32.1
4.29,50.528265166666664,18.096219333333334,32.4
2.95,50.52827283333333,18.096169166666666,33.1
4.3,50.52827633333333,18.096143666666666,33.4
0.0,50.528286333333334,18.096066166666667,33.5
0.87,50.52828916666667,18.0960405,33.4
0.0,50.52829466666667,18.095989,33.3
0.0,50.52829716666667,18.095963166666667,33.2
0.0,50.52829966666667,18.0959375,33.1
0.0,50.528304166666665,18.095886166666666,33.0
0.0,50.52830633333333,18.0958605,32.9
0.0,50.52831033333333,18.09580933333333,32.8
0.0,50.528312166666666,18.095783833333332,32.7
0.0,50.528313833333335,18.095758333333333,32.7
0.0,50.528316833333335,18.0957075,32.6
0.0,50.52831833333333,18.095682,32.5
0.0,50.52832183333334,18.095606,32.3
0.0,50.528322833333334,18.095580833333333,32.3
0.0,50.52832383333333,18.0955555,32.2
0.0,50.528326,18.095505333333332,32.1
0.0,50.528327,18.095480333333334,32.0
0.0,50.528329,18.095430333333333,31.9
0.0,50.52833,18.095405333333332,31.8
0.0,50.52833183333333,18.095355833333333,31.6
0.0,50.528332666666664,18.095331166666668,31.6
0.0,50.52833433333333,18.095281833333335,31.4
0.0,50.528335166666665,18.095257333333333,31.4
0.0,50.52833666666667,18.0952085,31.2
0.0,50.5283375,18.095184,31.2
