distance_m,speed_kmh,engine,elevation_m,corner_cap_kmh
294.9,26.21,0,206.23,55.0
295.9,26.19,0,206.23,55.0
296.9,26.18,0,206.22,55.0
297.9,26.17,0,206.22,55.0
298.9,26.16,0,206.22,55.0
299.9,26.14,0,206.22,55.0
300.9,26.13,0,206.22,55.0
301.9,26.11,0,206.21,55.0
302.9,26.10,0,206.21,55.0
303.9,26.10,0,206.21,55.0
304.9,26.09,0,206.20,55.0
305.9,26.06,0,206.21,55.0
306.9,26.05,0,206.20,55.0
307.9,26.02,0,206.20,55.0
308.9,26.01,0,206.20,55.0
309.9,25.99,0,206.20,55.0
310.9,25.98,0,206.20,55.0
311.9,25.97,0,206.20,55.0
312.9,25.96,0,206.20,55.0
313.9,25.95,0,206.19,55.0
314.9,25.94,0,206.19,55.0
315.9,25.94,0,206.19,55.0
316.9,25.93,0,206.18,55.0
317.9,25.92,0,206.18,55.0
318.9,25.92,0,206.18,55.0
319.9,25.91,0,206.17,55.0
320.9,25.90,0,206.17,55.0
321.9,25.88,0,206.17,55.0
322.9,25.86,0,206.17,55.0
323.9,25.85,0,206.17,55.0
324.9,25.83,0,206.17,55.0
325.9,25.82,0,206.16,55.0
326.9,25.81,0,206.16,55.0
327.9,25.79,0,206.16,55.0
328.9,25.78,0,206.16,55.0
329.9,25.77,0,206.16,55.0
330.9,25.75,0,206.16,55.0
331.9,25.74,0,206.15,55.0
332.9,25.73,0,206.15,55.0
333.9,25.71,0,206.15,55.0
334.9,25.68,0,206.15,55.0
335.9,25.66,0,206.15,55.0
336.9,25.64,0,206.15,55.0
337.9,25.62,0,206.15,55.0
338.9,25.58,0,206.15,55.0
339.9,25.56,0,206.15,55.0
340.9,25.53,0,206.16,55.0
341.9,25.49,0,206.16,55.0
342.9,25.46,0,206.16,55.0
343.9,25.44,0,206.16,55.0
344.9,25.43,0,206.16,55.0
345.9,25.40,0,206.16,55.0
346.9,25.38,0,206.16,55.0
347.9,25.36,0,206.16,55.0
348.9,25.34,0,206.16,55.0
349.9,25.32,0,206.16,55.0
350.9,25.30,0,206.16,55.0
351.9,25.28,0,206.16,55.0
352.9,25.26,0,206.16,55.0
353.9,25.22,0,206.16,55.0
354.9,25.21,0,206.16,55.0
355.9,25.19,0,206.16,55.0
356.9,25.17,0,206.16,55.0
357.9,25.15,0,206.16,55.0
358.9,25.14,0,206.16,55.0
359.9,25.12,0,206.16,55.0
360.9,25.12,0,206.15,55.0
361.9,25.11,0,206.15,55.0
362.9,25.11,0,206.14,55.0
363.9,25.10,0,206.14,55.0
364.9,25.08,0,206.14,55.0
365.9,25.08,0,206.14,55.0
366.9,25.07,0,206.14,55.0
367.9,25.06,0,206.13,55.0
368.9,25.04,0,206.13,55.0
369.9,25.02,0,206.13,55.0
370.9,25.01,0,206.13,55.0
371.9,25.00,0,206.13,55.0
372.9,24.99,0,206.13,55.0
373.9,24.97,0,206.12,55.0
374.9,24.96,0,206.12,55.0
375.9,24.95,0,206.12,55.0
376.9,24.94,0,206.12,55.0
377.9,24.94,0,206.11,55.0
378.9,24.92,0,206.11,55.0
379.9,24.90,0,206.11,55.0
380.9,24.90,0,206.11,55.0
381.9,24.89,0,206.11,55.0
382.9,24.89,0,206.10,55.0
383.9,24.89,0,206.10,55.0
384.9,24.88,0,206.09,55.0
385.9,24.89,0,206.09,55.0
386.9,24.88,0,206.09,55.0
387.9,24.88,0,206.08,55.0
388.9,24.88,0,206.08,55.0
389.9,24.87,0,206.07,55.0
390.9,24.86,0,206.07,55.0
391.9,24.85,0,206.07,55.0
392.9,24.84,0,206.07,55.0
393.9,24.83,0,206.07,55.0
394.9,24.82,0,206.06,55.0
395.9,24.82,0,206.06,55.0
396.9,24.82,0,206.06,55.0
397.9,24.82,0,206.05,55.0
398.9,24.81,0,206.05,55.0
399.9,24.80,0,206.05,55.0
400.9,24.79,0,206.04,55.0
401.9,24.78,0,206.04,55.0
402.9,24.78,0,206.04,55.0
403.9,24.78,0,206.03,55.0
404.9,24.75,0,206.03,55.0
405.9,24.74,0,206.03,55.0
406.9,24.71,0,206.03,55.0
407.9,24.70,0,206.03,55.0
408.9,24.69,0,206.03,55.0
409.9,24.70,0,206.02,55.0
410.9,24.69,0,206.02,55.0
411.9,24.69,0,206.02,55.0
412.9,24.67,0,206.02,55.0
413.9,24.67,0,206.01,55.0
414.9,24.67,0,206.01,55.0
415.9,24.67,0,206.00,55.0
416.9,24.66,0,206.00,55.0
417.9,24.65,0,206.00,55.0
418.9,24.64,0,206.00,55.0
419.9,24.63,0,205.99,55.0
420.9,24.61,0,205.99,55.0
421.9,24.61,0,205.99,55.0
422.9,24.60,0,205.99,55.0
423.9,24.59,0,205.98,53.7
424.9,24.60,0,205.98,51.6
425.9,24.59,0,205.97,50.8
426.9,24.59,0,205.97,50.0
427.9,24.60,0,205.97,48.9
428.9,24.59,0,205.96,47.7
429.9,24.60,0,205.96,46.9
430.9,24.59,0,205.95,46.2
431.9,24.60,0,205.95,45.5
432.9,24.60,0,205.94,44.2
433.9,24.59,0,205.94,42.6
434.9,24.61,0,205.93,41.7
435.9,24.62,0,205.93,41.4
436.9,24.62,0,205.92,41.1
437.9,24.62,0,205.92,41.0
438.9,24.62,0,205.91,40.8
439.9,24.62,0,205.91,40.9
440.9,24.61,0,205.91,41.6
441.9,24.61,0,205.90,42.3
442.9,24.59,0,205.90,43.1
443.9,24.57,0,205.90,44.3
444.9,24.54,0,205.90,45.9
445.9,24.53,0,205.90,48.5
446.9,24.51,0,205.90,52.5
447.9,24.50,0,205.90,55.0
448.9,24.49,0,205.90,55.0
449.9,24.47,0,205.90,55.0
450.9,24.46,0,205.89,55.0
451.9,24.45,0,205.89,55.0
452.9,24.45,0,205.89,55.0
453.9,24.45,0,205.88,55.0
454.9,24.46,0,205.88,55.0
455.9,24.46,0,205.87,55.0
456.9,24.47,0,205.87,55.0
457.9,24.48,0,205.86,54.5
458.9,24.50,0,205.85,51.9
459.9,24.52,0,205.84,49.7
460.9,24.54,0,205.84,48.5
461.9,24.56,0,205.83,48.8
462.9,24.58,0,205.82,49.0
463.9,24.59,0,205.81,48.8
464.9,24.60,0,205.81,48.7
465.9,24.61,0,205.80,48.5
466.9,24.64,0,205.79,48.7
467.9,24.64,0,205.79,49.3
468.9,24.64,0,205.78,49.9
469.9,24.65,0,205.78,50.4
470.9,24.65,0,205.77,50.7
471.9,24.65,0,205.77,50.5
472.9,24.64,0,205.76,50.4
473.9,24.65,0,205.76,50.2
474.9,24.65,0,205.75,50.1
475.9,24.64,0,205.75,50.6
476.9,24.64,0,205.75,51.7
477.9,24.64,0,205.74,53.5
478.9,24.62,0,205.74,55.0
479.9,24.62,0,205.74,55.0
480.9,24.61,0,205.74,55.0
481.9,24.60,0,205.73,55.0
482.9,24.58,0,205.73,55.0
483.9,24.56,0,205.73,55.0
484.9,24.55,0,205.73,55.0
485.9,24.55,0,205.73,55.0
486.9,24.53,0,205.72,55.0
487.9,24.52,0,205.72,55.0
488.9,24.51,0,205.72,55.0
489.9,24.50,0,205.72,55.0
490.9,24.49,0,205.72,55.0
491.9,24.49,0,205.71,55.0
492.9,24.48,0,205.71,55.0
493.9,24.48,0,205.71,55.0
494.9,24.47,0,205.70,55.0
495.9,24.46,0,205.70,55.0
496.9,24.46,0,205.70,55.0
497.9,24.46,0,205.69,55.0
498.9,24.46,0,205.69,55.0
499.9,24.46,0,205.68,55.0
500.9,24.46,0,205.68,55.0
501.9,24.46,0,205.67,55.0
502.9,24.46,0,205.67,55.0
503.9,24.46,0,205.67,55.0
504.9,24.47,0,205.66,55.0
505.9,24.46,0,205.66,55.0
506.9,24.46,0,205.66,55.0
507.9,24.45,0,205.65,55.0
508.9,24.45,0,205.65,55.0
509.9,24.44,0,205.65,55.0
510.9,24.43,0,205.64,55.0
511.9,24.41,0,205.64,55.0
512.9,24.41,0,205.64,55.0
513.9,24.42,0,205.63,55.0
514.9,24.43,0,205.63,55.0
515.9,24.42,0,205.62,55.0
516.9,24.41,0,205.62,55.0
517.9,24.38,0,205.62,55.0
518.9,24.36,0,205.62,55.0
519.9,24.37,0,205.62,55.0
520.9,24.38,0,205.61,55.0
